path,molecule,proxy,target,qed,pka,num_reactions,num_non_unary_reactions,mode,similarity,ligand,ligand_IC50(nM),ligand_EC50,ligand_Activation at 3 uM,ligand_Activation at 3 uM (confirmatory_assay_AID_651783.csv)
"['NC1(c2cc(F)cc(F)c2)CC1', ('[Nh2:6]-[#6&!$(C=[O,N]):10].[Nh2:5]-[#6&!$(C=[O,N]):20] >> [Nh:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[Nh:6]-[#6&!$(C=[O,N]):10]', 'CN1c2ccccc2CCC1CN'), 'CN1c2ccccc2CCC1CNC(=O)NC1(c2cc(F)cc(F)c2)CC1']",CN1c2ccccc2CCC1CNC(=O)NC1(c2cc(F)cc(F)c2)CC1,8.720799446105957,9.399999618530272,0.8607101440429688,1.0,1,1,190,0.3026315789473684,CC(=O)c1cc(F)ccc1OCC(=O)N1CCCc2ccccc21,,,8.82,
"['C[C@@H](N)c1ccc2cnccc2c1', ('[Nh2:6]-[#6&!$(C=[O,N]):10].[Nh2:5]-[#6&!$(C=[O,N]):20] >> [Nh:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[Nh:6]-[#6&!$(C=[O,N]):10]', 'Cc1ccc2c(c1)[C@H](N)[C@@H](C)C2'), 'Cc1ccc2c(c1)[C@H](NC(=O)N[C@H](C)c1ccc3cnccc3c1)[C@@H](C)C2']",Cc1ccc2c(c1)[C@H](NC(=O)N[C@H](C)c1ccc3cnccc3c1)[C@@H](C)C2,8.72075080871582,10.399999618530272,0.7031388282775879,1.0,1,1,1065,0.29577464788732394,CC(NC(=O)Nc1ccc(F)cc1F)c1ccncc1,,,13.99,
"['C[C@@H](N)c1ccc2ncccc2c1', ('[Nh2:5]-[#6&!$(C=[O,N]):20].[Nh2:6]-[#6&!$(C=[O,N]):10] >> [Nh:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[Nh:6]-[#6&!$(C=[O,N]):10]', 'Cc1ccc2c(c1)[C@H](N)[C@@H](C)C2'), 'Cc1ccc2c(c1)[C@H](NC(=O)N[C@H](C)c1ccc3ncccc3c1)[C@@H](C)C2']",Cc1ccc2c(c1)[C@H](NC(=O)N[C@H](C)c1ccc3ncccc3c1)[C@@H](C)C2,8.72075080871582,10.399999618530272,0.7031388282775879,1.0,1,1,1065,0.3548387096774194,O=C(Nc1ccc2ncccc2c1)Nc1ccc2ncccc2c1,,,20.33,
"['Fc1cc(F)c2c(c1)CNC2', ('[#6&!$(C=[O,N]):4]-[Nh:2]-[#6&!$(C=[O,N]):3].[C:1](=[O])[Oh] >> [C:1]-[N:2](-[#6&!$(C=[O,N]):4])-[#6&!$(C=[O,N]):3]', 'O=C(O)C12CNCC(c3ccccc3)(C1)C2'), 'Fc1cc(F)c2c(c1)CN(CC13CNCC(c4ccccc4)(C1)C3)C2']",Fc1cc(F)c2c(c1)CN(CC13CNCC(c4ccccc4)(C1)C3)C2,8.720609664916992,9.100000381469728,0.9183556437492372,1.0,1,1,45,0.23529411764705882,O=C1CCN(Cc2ccccc2)S(=O)(=O)c2c(F)cc(F)cc21,,,15.29,
"['Cc1ccc2c(c1)C[C@@H](C(=O)O)NC2', ('[#6&!$(C=[O,N]):4]-[Nh:2]-[#6&!$(C=[O,N]):3].[C:1](=[O])[Oh] >> [C:1]-[N:2](-[#6&!$(C=[O,N]):4])-[#6&!$(C=[O,N]):3]', 'Cc1cccc(C[C@H](O)C(=O)O)c1'), 'Cc1cccc(C[C@H](O)CN2Cc3ccc(C)cc3C[C@H]2C(=O)O)c1']",Cc1cccc(C[C@H](O)CN2Cc3ccc(C)cc3C[C@H]2C(=O)O)c1,8.720458984375,9.300000190734863,0.879250705242157,1.0,1,1,35,0.3559322033898305,O=C(O)C1Cc2ccccc2CN1C(=O)CCl,,,8.81,
"['NCc1ccc2c(c1)[C@@H](F)CC2', ('[Nh2:6]-[#6&!$(C=[O,N]):10].[#6&!$(C=[O,N]):21]-[Nh:5]-[#6&!$(C=[O,N]):20] >> [#6&!$(C=[O,N]):21]-[N:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[Nh:6]-[#6&!$(C=[O,N]):10]', 'Cc1cc2c(cn1)NCCC2'), 'Cc1cc2c(cn1)N(C(=O)NCc1ccc3c(c1)[C@@H](F)CC3)CCC2']",Cc1cc2c(cn1)N(C(=O)NCc1ccc3c(c1)[C@@H](F)CC3)CCC2,8.72020149230957,9.199999809265137,0.898415744304657,1.0,1,1,881,0.35294117647058826,CC(=O)N1CCCc2cc(S(=O)(=O)N3CCCC(C(=O)NCc4ccc(Cl)cc4)C3)ccc21,,,8.55,
"['O=C(O)Cc1ccc2c(c1)CCC2', ('[C:1](=[O])[Oh].[#6&!$(C=[O,N]):4]-[Nh:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[N:2](-[#6&!$(C=[O,N]):4])-[#6&!$(C=[O,N]):3]', 'FC(F)(F)c1ccc([C@@H]2COCCN2)cc1'), 'FC(F)(F)c1ccc([C@@H]2COCCN2CCc2ccc3c(c2)CCC3)cc1']",FC(F)(F)c1ccc([C@@H]2COCCN2CCc2ccc3c(c2)CCC3)cc1,8.720190048217773,10.0,0.7604172229766846,1.0,1,1,1066,0.38461538461538464,FC(F)(F)c1cc(CCN2CCNC[C@@H]2c2ccccc2)cc(C(F)(F)F)c1,,,44.92,34.31
"['O=Cc1ccc2c(c1)NC(=O)CC2', ('[Ch:2]([#6:3])=[O].[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][Nh:1]-[Ch:2]-[#6:3]', 'Cc1ccc2c(c1C)C(N)CC2'), 'Cc1ccc2c(c1C)C(NCc1ccc3c(c1)NC(=O)CC3)CC2']",Cc1ccc2c(c1C)C(NCc1ccc3c(c1)NC(=O)CC3)CC2,8.720115661621094,9.199999809265137,0.8983981013298035,1.0,1,1,193,0.328125,O=C1CCc2ccc(NS(=O)(=O)c3ccc(F)cc3)cc2N1,,,9.06,
"['C[C@@H](N)c1ccc2c(c1)CCC2', ('[Nh2:5]-[#6&!$(C=[O,N]):20].[Nh2:6]-[#6&!$(C=[O,N]):10] >> [Nh:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[Nh:6]-[#6&!$(C=[O,N]):10]', 'Cc1ccc(N)cc1C(F)F'), 'Cc1ccc(NC(=O)N[C@H](C)c2ccc3c(c2)CCC3)cc1C(F)F']",Cc1ccc(NC(=O)N[C@H](C)c2ccc3c(c2)CCC3)cc1C(F)F,8.719958305358887,9.899999618530272,0.7758155465126038,1.0,1,1,885,0.47368421052631576,CC(NC(=O)c1ccc(F)cc1)c1ccc2c(c1)CCCC2,,,13.49,
"['NCC[C@H]1Cc2c(F)cccc2O1', ('[#6&!$(C=[O,N]):10][Nh2:1].[#6:3][C:2]([#6:4])=[O] >> [#6&!$(C=[O,N]):10][N:1]-[C:2]([#6:3])[#6:4]', 'O=C1c2ccccc2[C@@H]2CNC[C@H]12'), 'Fc1cccc2c1C[C@H](CCNC1c3ccccc3[C@@H]3CNC[C@H]13)O2']",Fc1cccc2c1C[C@H](CCNC1c3ccccc3[C@@H]3CNC[C@H]13)O2,8.719917297363281,9.199999809265137,0.8983572721481323,1.0,1,1,1067,0.2753623188405797,O=C(OCC1COc2ccccc2O1)c1ccccc1F,,,24.83,
