"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1911519";"";"None";"289.38";"0";"2.82";"4";"COCCOCCCCc1[nH]c2ccccc2c(=O)c1C";"CL";"'>'";"1000.0";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL1913316";"Intrinsic clearance in mouse liver microsomes at 0.2 uM";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL1909616";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"1000.0"
"CHEMBL1911526";"";"None";"365.43";"0";"3.91";"10a";"O=c1cc(COc2cccc(OCC3CCOCC3)c2)[nH]c2ccccc12";"CL";"'='";"197.0";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL1913316";"Intrinsic clearance in mouse liver microsomes at 0.2 uM";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL1909616";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"197.0"
"CHEMBL1615189";"";"None";"476.94";"0";"4.91";"1";"CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)cc2s1";"CL";"'<'";"26.0";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL1827332";"Clearance in mouse liver microsomes";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL1821651";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";"";"";"26.0"
"CHEMBL2012958";"";"None";"322.39";"0";"3.16";"2q";"Cc1nc2c(C#N)cccc2n1-c1ccc(C(=O)NC2CC2)s1";"CL";"'='";"5.8";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL2015255";"Clearance in mouse liver microsomes by LC-MS/MS analysis with microsomal and protein binding correction";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL2010768";"1";"Scientific Literature";"ACS Med Chem Lett";"2011";"None";"";"";"";"5.8"
"CHEMBL2011766";"";"None";"281.83";"0";"4.33";"17";"CC1(C)C[C@H](O)C[C@](C)(CNc2cccc(Cl)c2)C1";"CL";"'='";"86.1";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL2015867";"Clearance in mouse liver microsomes at 1 uM";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL2010786";"1";"Scientific Literature";"ACS Med Chem Lett";"2011";"None";"";"";"";"86.1"
"CHEMBL2011775";"";"None";"290.41";"0";"2.77";"26";"CC1(C)C[C@H](O)C[C@](C)(CNc2cccc(C(N)=O)c2)C1";"CL";"'='";"43.0";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL2015867";"Clearance in mouse liver microsomes at 1 uM";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL2010786";"1";"Scientific Literature";"ACS Med Chem Lett";"2011";"None";"";"";"";"43.0"
"CHEMBL2011783";"";"None";"360.91";"0";"2.98";"40";"CC1(C)C[C@H](O)C[C@](C)(CNc2ccc(Cl)c(S(N)(=O)=O)c2)C1";"CL";"'='";"42.5";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL2015867";"Clearance in mouse liver microsomes at 1 uM";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL2010786";"1";"Scientific Literature";"ACS Med Chem Lett";"2011";"None";"";"";"";"42.5"
"CHEMBL1911530";"";"None";"409.48";"0";"4.23";"15c";"COc1ccc2[nH]c(COc3cccc(OCC4CCOCC4)c3)c(C)c(=O)c2c1";"CL";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL1913316";"Intrinsic clearance in mouse liver microsomes at 0.2 uM";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL1909616";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";""
"CHEMBL4082684";"";"None";"385.45";"0";"1.40";"17";"CN1C(=O)[C@@H]2CN(S(=O)(=O)c3ccc4c(c3)OCC4)C[C@@H]2c2cnccc21";"CL";"'='";"177.0";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL3993208";"Intrinsic clearance in mouse liver microsomes up to 40 mins in presence of NADPH";"A";"BAO_0000019";"assay format";"Mus musculus";"CHEMBL3559723";"Liver";"None";" microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL3992512";"1";"Scientific Literature";"J Med Chem";"2017";"None";"";"";"";"177.0"
"CHEMBL1911538";"";"None";"368.43";"0";"3.35";"25b";"Cc1c(COc2cc(OCCC(C)(C)O)ccn2)[nH]c2ccccc2c1=O";"CL";"'='";"112.0";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL1913316";"Intrinsic clearance in mouse liver microsomes at 0.2 uM";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL1909616";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"112.0"
"CHEMBL1911539";"";"None";"380.44";"0";"3.62";"26a";"Cc1c(COc2cncc(OCC3CCOCC3)c2)[nH]c2ccccc2c1=O";"CL";"'='";"238.0";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL1913316";"Intrinsic clearance in mouse liver microsomes at 0.2 uM";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL1909616";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"238.0"
"CHEMBL1911541";"";"None";"380.44";"0";"3.62";"28";"Cc1c(COc2cccc(OCC3CCOCC3)n2)[nH]c2ccccc2c1=O";"CL";"'='";"984.0";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL1913316";"Intrinsic clearance in mouse liver microsomes at 0.2 uM";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL1909616";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"984.0"
"CHEMBL1914844";"";"None";"495.06";"0";"4.37";"6k";"Cc1ccc(N2CCN(CC(O)COc3ccccc3C(=O)CCc3ccccc3)CC2)cc1.Cl";"CL";"'='";"30.4";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL1918930";"Intrinsic clearance in CD9 mouse liver microsomes by UPLC-MS analysis";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL1914304";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";"";"";"30.4"
"CHEMBL4094309";"";"None";"382.45";"0";"2.10";"30";"CN1C(=O)C2=C(C1=O)N(CC(=O)Nc1ccc(-c3nccs3)cc1)CCC2";"CL";"'='";"65.0";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL4040036";"Intrinsic clearance in mouse liver microsomes";"A";"BAO_0000019";"assay format";"Mus musculus";"CHEMBL3559723";"Liver";"None";" microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL4038310";"1";"Scientific Literature";"J Med Chem";"2017";"None";"";"";"";"65.0"
